sentence pair id,sentence pair type,evaluator id,q1 score,q2 score,target language,human translation,machine translation,original
BG_SE_3,A,BBC_Bulgarian_02,95,0,BG,Направиха проверка на Юрий дали не е жертва на сексуален тормоз. ,Юри е проверен дали е жертва на сексуални престъпления.,Yuri was checked as to whether he was a victim of sexual offenses. 
BG_SE_3,A,BBC_Bulgarian_03,100,0,BG,Направиха проверка на Юрий дали не е жертва на сексуален тормоз. ,Юри е проверен дали е жертва на сексуални престъпления.,Yuri was checked as to whether he was a victim of sexual offenses. 
BG_SE_3,A,DW_Bulgarian_01,97,0,BG,Направиха проверка на Юрий дали не е жертва на сексуален тормоз. ,Юри е проверен дали е жертва на сексуални престъпления.,Yuri was checked as to whether he was a victim of sexual offenses. 
BG_SE_4,A,BBC_Bulgarian_01,50,0,BG,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,A,DW_Bulgarian_01,51,0,BG,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,A,DW_Bulgarian_02,0,0,BG,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,A,BBC_Bulgarian_02,38,0,BG,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,A,BBC_Bulgarian_03,38,0,BG,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_5,A,BBC_Bulgarian_02,77,0,BG,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,A,BBC_Bulgarian_01,0,0,BG,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,A,DW_Bulgarian_01,77,0,BG,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,A,BBC_Bulgarian_03,92,0,BG,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,A,DW_Bulgarian_02,0,0,BG,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_6,A,DW_Bulgarian_02,100,0,BG,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,A,BBC_Bulgarian_03,50,0,BG,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,A,BBC_Bulgarian_01,100,0,BG,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,A,BBC_Bulgarian_02,100,0,BG,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,A,DW_Bulgarian_01,100,0,BG,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_7,A,BBC_Bulgarian_01,11,0,BG,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,A,DW_Bulgarian_01,24,0,BG,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,A,BBC_Bulgarian_02,26,0,BG,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,A,BBC_Bulgarian_03,55,0,BG,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,A,DW_Bulgarian_02,0,0,BG,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_8,A,DW_Bulgarian_01,90,0,BG,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,A,BBC_Bulgarian_03,100,0,BG,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,A,DW_Bulgarian_02,94,0,BG,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,A,BBC_Bulgarian_02,97,0,BG,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,A,BBC_Bulgarian_01,77,0,BG,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_9,A,BBC_Bulgarian_01,76,0,BG,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,A,DW_Bulgarian_01,90,0,BG,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,A,BBC_Bulgarian_03,98,0,BG,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,A,DW_Bulgarian_02,61,0,BG,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,A,BBC_Bulgarian_02,37,0,BG,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_10,A,DW_Bulgarian_01,77,0,BG,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,A,BBC_Bulgarian_02,100,0,BG,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,A,BBC_Bulgarian_01,100,0,BG,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,A,DW_Bulgarian_02,94,0,BG,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,A,BBC_Bulgarian_03,98,0,BG,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_11,A,BBC_Bulgarian_01,100,0,BG,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,A,BBC_Bulgarian_03,41,0,BG,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,A,BBC_Bulgarian_02,100,0,BG,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,A,DW_Bulgarian_02,87,0,BG,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,A,DW_Bulgarian_01,95,0,BG,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_12,A,BBC_Bulgarian_02,100,0,BG,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,A,DW_Bulgarian_02,100,0,BG,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,A,DW_Bulgarian_01,94,0,BG,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,A,BBC_Bulgarian_01,100,0,BG,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,A,BBC_Bulgarian_03,54,0,BG,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_13,A,BBC_Bulgarian_02,47,0,BG,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,A,BBC_Bulgarian_03,99,0,BG,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,A,DW_Bulgarian_02,100,0,BG,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,A,DW_Bulgarian_01,100,0,BG,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,A,BBC_Bulgarian_01,100,0,BG,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_14,A,BBC_Bulgarian_01,100,0,BG, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,A,DW_Bulgarian_02,100,0,BG, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,A,BBC_Bulgarian_02,100,0,BG, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,A,DW_Bulgarian_01,100,0,BG, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,A,BBC_Bulgarian_03,100,0,BG, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_15,A,BBC_Bulgarian_02,100,0,BG,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,A,BBC_Bulgarian_03,100,0,BG,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,A,DW_Bulgarian_02,100,0,BG,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,A,BBC_Bulgarian_01,100,0,BG,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,A,DW_Bulgarian_01,100,0,BG,Аз отказах. ,Отказах.,I refused. 
BG_SE_16,A,BBC_Bulgarian_03,44,0,BG,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,A,DW_Bulgarian_01,0,0,BG,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,A,BBC_Bulgarian_01,0,0,BG,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,A,BBC_Bulgarian_02,37,0,BG,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,A,DW_Bulgarian_02,0,0,BG,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_17,A,DW_Bulgarian_02,0,0,BG,"В началото на века руският поп дует ""Тату"" (t.A.T.u.) стана известен със своите песни, възпяващи любовта между лесбийки. ","В началото на 2000 г., руски поп дует ""Tattoo"" (t.A.T.u.) стана известен с песните си празнува лесбийки любов.","In the early 2000s, Russian pop duo “Tattoo” (t.A.T.u.) became famous for their songs celebrating lesbian love."
BG_SE_17,A,BBC_Bulgarian_03,46,0,BG,"В началото на века руският поп дует ""Тату"" (t.A.T.u.) стана известен със своите песни, възпяващи любовта между лесбийки. ","В началото на 2000 г., руски поп дует ""Tattoo"" (t.A.T.u.) стана известен с песните си празнува лесбийки любов.","In the early 2000s, Russian pop duo “Tattoo” (t.A.T.u.) became famous for their songs celebrating lesbian love."
BG_SE_17,A,BBC_Bulgarian_01,44,0,BG,"В началото на века руският поп дует ""Тату"" (t.A.T.u.) стана известен със своите песни, възпяващи любовта между лесбийки. ","В началото на 2000 г., руски поп дует ""Tattoo"" (t.A.T.u.) стана известен с песните си празнува лесбийки любов.","In the early 2000s, Russian pop duo “Tattoo” (t.A.T.u.) became famous for their songs celebrating lesbian love."
BG_SE_17,A,BBC_Bulgarian_02,42,0,BG,"В началото на века руският поп дует ""Тату"" (t.A.T.u.) стана известен със своите песни, възпяващи любовта между лесбийки. ","В началото на 2000 г., руски поп дует ""Tattoo"" (t.A.T.u.) стана известен с песните си празнува лесбийки любов.","In the early 2000s, Russian pop duo “Tattoo” (t.A.T.u.) became famous for their songs celebrating lesbian love."
BG_SE_17,A,DW_Bulgarian_01,24,0,BG,"В началото на века руският поп дует ""Тату"" (t.A.T.u.) стана известен със своите песни, възпяващи любовта между лесбийки. ","В началото на 2000 г., руски поп дует ""Tattoo"" (t.A.T.u.) стана известен с песните си празнува лесбийки любов.","In the early 2000s, Russian pop duo “Tattoo” (t.A.T.u.) became famous for their songs celebrating lesbian love."
BG_SE_18,A,BBC_Bulgarian_01,77,0,BG,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,A,BBC_Bulgarian_02,53,0,BG,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,A,DW_Bulgarian_02,100,0,BG,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,A,BBC_Bulgarian_03,97,0,BG,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,A,DW_Bulgarian_01,77,0,BG,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_19,A,DW_Bulgarian_01,100,0,BG,"Същевременно има много самотни хетеросексуални жени, които осиновяват деца.","В същото време има много самотни хетеросексуални жени, които осиновяват деца.","At the same time, there are many single heterosexual women who adopt children. "
BG_SE_19,A,BBC_Bulgarian_03,100,0,BG,"Същевременно има много самотни хетеросексуални жени, които осиновяват деца.","В същото време има много самотни хетеросексуални жени, които осиновяват деца.","At the same time, there are many single heterosexual women who adopt children. "
BG_SE_19,A,BBC_Bulgarian_01,100,0,BG,"Същевременно има много самотни хетеросексуални жени, които осиновяват деца.","В същото време има много самотни хетеросексуални жени, които осиновяват деца.","At the same time, there are many single heterosexual women who adopt children. "
BG_SE_19,A,DW_Bulgarian_02,100,0,BG,"Същевременно има много самотни хетеросексуални жени, които осиновяват деца.","В същото време има много самотни хетеросексуални жени, които осиновяват деца.","At the same time, there are many single heterosexual women who adopt children. "
BG_SE_19,A,BBC_Bulgarian_02,100,0,BG,"Същевременно има много самотни хетеросексуални жени, които осиновяват деца.","В същото време има много самотни хетеросексуални жени, които осиновяват деца.","At the same time, there are many single heterosexual women who adopt children. "
BG_SE_20,A,BBC_Bulgarian_01,72,0,BG,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,A,BBC_Bulgarian_03,100,0,BG,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,A,BBC_Bulgarian_02,48,0,BG,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,A,DW_Bulgarian_01,37,0,BG,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,A,DW_Bulgarian_02,7,0,BG,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_21,A,BBC_Bulgarian_01,5,0,BG,"Защото ако Албания влезе в ЕС, ще се случи същото като в Хърватия, където щом страната влезе в ЕС, министър-председателят влезе в затвора. ","Защото ако Албания влезе в ЕС, същото ще стане и в Хърватия, където в момента, в който Хърватия влезе в ЕС, министър-председателят влезе в затвора.","Because if Albania enters the EU,the same will happen as in Croatia, where in the moment Croatia entered the EU, the Prime Minister went to jail. "
BG_SE_21,A,BBC_Bulgarian_02,36,0,BG,"Защото ако Албания влезе в ЕС, ще се случи същото като в Хърватия, където щом страната влезе в ЕС, министър-председателят влезе в затвора. ","Защото ако Албания влезе в ЕС, същото ще стане и в Хърватия, където в момента, в който Хърватия влезе в ЕС, министър-председателят влезе в затвора.","Because if Albania enters the EU,the same will happen as in Croatia, where in the moment Croatia entered the EU, the Prime Minister went to jail. "
BG_SE_21,A,DW_Bulgarian_02,0,0,BG,"Защото ако Албания влезе в ЕС, ще се случи същото като в Хърватия, където щом страната влезе в ЕС, министър-председателят влезе в затвора. ","Защото ако Албания влезе в ЕС, същото ще стане и в Хърватия, където в момента, в който Хърватия влезе в ЕС, министър-председателят влезе в затвора.","Because if Albania enters the EU,the same will happen as in Croatia, where in the moment Croatia entered the EU, the Prime Minister went to jail. "
BG_SE_21,A,BBC_Bulgarian_03,100,0,BG,"Защото ако Албания влезе в ЕС, ще се случи същото като в Хърватия, където щом страната влезе в ЕС, министър-председателят влезе в затвора. ","Защото ако Албания влезе в ЕС, същото ще стане и в Хърватия, където в момента, в който Хърватия влезе в ЕС, министър-председателят влезе в затвора.","Because if Albania enters the EU,the same will happen as in Croatia, where in the moment Croatia entered the EU, the Prime Minister went to jail. "
BG_SE_21,A,DW_Bulgarian_01,24,0,BG,"Защото ако Албания влезе в ЕС, ще се случи същото като в Хърватия, където щом страната влезе в ЕС, министър-председателят влезе в затвора. ","Защото ако Албания влезе в ЕС, същото ще стане и в Хърватия, където в момента, в който Хърватия влезе в ЕС, министър-председателят влезе в затвора.","Because if Albania enters the EU,the same will happen as in Croatia, where in the moment Croatia entered the EU, the Prime Minister went to jail. "
BG_SE_22,A,BBC_Bulgarian_01,98,0,BG,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,A,DW_Bulgarian_01,94,0,BG,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,A,DW_Bulgarian_02,90,0,BG,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,A,BBC_Bulgarian_03,100,0,BG,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,A,BBC_Bulgarian_02,100,0,BG,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_23,A,DW_Bulgarian_02,0,0,BG,"Депутатът от партията ""Обединена Русия"" Виталий Милонов, главен защитник на приетия през 2013 г. закон за забрана на хомосексуалната пропаганда, заяви, че ако ""Рамщайн"" си позволяват да се държат по този начин, срещу тази ""аморална"" група ще бъдат взети мерки. ","Депутатът от ""Единна Русия"" Виталий Миронов, който е основен спонсор на антигей закона, приет през 2013 г., заяви, че ако Rammstein смята, че те могат да се измъкнат с индулгенция в такива хитринки, то тогава той би взел мерки срещу тази ""неморална"" група.","United Russia MP Vitaly Milonov, a main sponsor of the anti-gay law passed in 2013, said that if Rammstein believes they can get away with indulging in such histrionics, then he would take measures against this “immoral” group."
BG_SE_23,A,BBC_Bulgarian_01,23,0,BG,"Депутатът от партията ""Обединена Русия"" Виталий Милонов, главен защитник на приетия през 2013 г. закон за забрана на хомосексуалната пропаганда, заяви, че ако ""Рамщайн"" си позволяват да се държат по този начин, срещу тази ""аморална"" група ще бъдат взети мерки. ","Депутатът от ""Единна Русия"" Виталий Миронов, който е основен спонсор на антигей закона, приет през 2013 г., заяви, че ако Rammstein смята, че те могат да се измъкнат с индулгенция в такива хитринки, то тогава той би взел мерки срещу тази ""неморална"" група.","United Russia MP Vitaly Milonov, a main sponsor of the anti-gay law passed in 2013, said that if Rammstein believes they can get away with indulging in such histrionics, then he would take measures against this “immoral” group."
